From	To	Species	Gene Name
1451415_at	Q9D915	Mus musculus	RIKEN cDNA 1810011O10 gene
1434704_at	Q6P3B3	Mus musculus	myeloid/lymphoid or mixed-lineage leukemia 5
1434704_at	Q3TUY2	Mus musculus	myeloid/lymphoid or mixed-lineage leukemia 5
1434704_at	Q3UG20	Mus musculus	myeloid/lymphoid or mixed-lineage leukemia 5
1434704_at	Q8CFX7	Mus musculus	myeloid/lymphoid or mixed-lineage leukemia 5
1434704_at	Q5FWI1	Mus musculus	myeloid/lymphoid or mixed-lineage leukemia 5
1434704_at	Q8BS65	Mus musculus	myeloid/lymphoid or mixed-lineage leukemia 5
1434704_at	Q3V410	Mus musculus	myeloid/lymphoid or mixed-lineage leukemia 5
1434704_at	Q9CVK6	Mus musculus	myeloid/lymphoid or mixed-lineage leukemia 5
1434704_at	Q3SYI5	Mus musculus	myeloid/lymphoid or mixed-lineage leukemia 5
1436030_at	Q8BNP3	Mus musculus	cache domain containing 1; similar to Cache domain containing 1
1436030_at	Q6ZPM4	Mus musculus	cache domain containing 1; similar to Cache domain containing 1
1436030_at	Q6PFZ0	Mus musculus	cache domain containing 1; similar to Cache domain containing 1
1436030_at	Q6PDJ1	Mus musculus	cache domain containing 1; similar to Cache domain containing 1
1436030_at	A2A8W3	Mus musculus	cache domain containing 1; similar to Cache domain containing 1
1426774_at	Q8K333	Mus musculus	poly (ADP-ribose) polymerase family, member 12
1426774_at	Q8BZ20	Mus musculus	poly (ADP-ribose) polymerase family, member 12
1426774_at	Q80VL6	Mus musculus	poly (ADP-ribose) polymerase family, member 12
1426774_at	Q0VB94	Mus musculus	poly (ADP-ribose) polymerase family, member 12
1426774_at	Q8R3U2	Mus musculus	poly (ADP-ribose) polymerase family, member 12
1426774_at	Q3U0S1	Mus musculus	poly (ADP-ribose) polymerase family, member 12
1417862_at	Q80VF6	Mus musculus	family with sequence similarity 181, member B
1417862_at	Q9JJD9	Mus musculus	family with sequence similarity 181, member B
1417862_at	Q3URI7	Mus musculus	family with sequence similarity 181, member B
1448870_at	Q8BNW7	Mus musculus	latent transforming growth factor beta binding protein 1
1448870_at	Q8CG18	Mus musculus	latent transforming growth factor beta binding protein 1
1448870_at	Q8CG19	Mus musculus	latent transforming growth factor beta binding protein 1
1448870_at	Q8C7F5	Mus musculus	latent transforming growth factor beta binding protein 1
1448870_at	Q8CIR0	Mus musculus	latent transforming growth factor beta binding protein 1
1448870_at	Q99PJ3	Mus musculus	latent transforming growth factor beta binding protein 1
1448870_at	Q8C6S0	Mus musculus	latent transforming growth factor beta binding protein 1
1448870_at	B1B1E1	Mus musculus	latent transforming growth factor beta binding protein 1
1448870_at	O88349	Mus musculus	latent transforming growth factor beta binding protein 1
1448870_at	B1B1D9	Mus musculus	latent transforming growth factor beta binding protein 1
1448870_at	Q505C9	Mus musculus	latent transforming growth factor beta binding protein 1
1438909_at	Q8R127	Mus musculus	similar to Saccharopine dehydrogenase (putative); saccharopine dehydrogenase (putative)
1438909_at	Q3ULN6	Mus musculus	similar to Saccharopine dehydrogenase (putative); saccharopine dehydrogenase (putative)
1438909_at	Q3TMB9	Mus musculus	similar to Saccharopine dehydrogenase (putative); saccharopine dehydrogenase (putative)
1451268_at	Q8C6X6	Mus musculus	translocation associated membrane protein 1-like 1
1451268_at	Q8QZR0	Mus musculus	translocation associated membrane protein 1-like 1
1451268_at	Q8C455	Mus musculus	translocation associated membrane protein 1-like 1
1446086_s_at	Q8BKI7	Mus musculus	GLI-Kruppel family member GLI2
1446086_s_at	Q8K0K3	Mus musculus	GLI-Kruppel family member GLI2
1446086_s_at	Q0VGV1	Mus musculus	GLI-Kruppel family member GLI2
1446086_s_at	A5AA25	Mus musculus	GLI-Kruppel family member GLI2
1446086_s_at	A5AA27	Mus musculus	GLI-Kruppel family member GLI2
1446086_s_at	A5AA26	Mus musculus	GLI-Kruppel family member GLI2
1446086_s_at	Q0VGT2	Mus musculus	GLI-Kruppel family member GLI2
1446086_s_at	A5A9W4	Mus musculus	GLI-Kruppel family member GLI2
1446086_s_at	A5A9W3	Mus musculus	GLI-Kruppel family member GLI2
1446086_s_at	A5A9W5	Mus musculus	GLI-Kruppel family member GLI2
1416473_a_at	Q9EQS8	Mus musculus	immunoglobulin superfamily, DCC subclass, member 4
1416473_a_at	Q9JLI1	Mus musculus	immunoglobulin superfamily, DCC subclass, member 4
1416473_a_at	Q9EQS9	Mus musculus	immunoglobulin superfamily, DCC subclass, member 4
1416473_a_at	A0JNS2	Mus musculus	immunoglobulin superfamily, DCC subclass, member 4
1416473_a_at	Q80TB0	Mus musculus	immunoglobulin superfamily, DCC subclass, member 4
1419383_at	P50114	Mus musculus	S100 protein, beta polypeptide, neural
1419383_at	Q3UY00	Mus musculus	S100 protein, beta polypeptide, neural
1423352_at	Q99MM6	Mus musculus	cysteine-rich secretory protein LCCL domain containing 1
1423352_at	Q8K018	Mus musculus	cysteine-rich secretory protein LCCL domain containing 1
1423352_at	Q8CGD2	Mus musculus	cysteine-rich secretory protein LCCL domain containing 1
1420641_a_at	Q8BW20	Mus musculus	sulfide quinone reductase-like (yeast)
1420641_a_at	Q3UDS4	Mus musculus	sulfide quinone reductase-like (yeast)
1420641_a_at	Q91XA1	Mus musculus	sulfide quinone reductase-like (yeast)
1420641_a_at	Q9D891	Mus musculus	sulfide quinone reductase-like (yeast)
1420641_a_at	Q9R112	Mus musculus	sulfide quinone reductase-like (yeast)
1420641_a_at	A2ATW7	Mus musculus	sulfide quinone reductase-like (yeast)
1435754_at	Q3TM33	Mus musculus	zyg-ll homolog B (C. elegans)
1435754_at	Q3TMB0	Mus musculus	zyg-ll homolog B (C. elegans)
1435754_at	Q80TA0	Mus musculus	zyg-ll homolog B (C. elegans)
1435754_at	Q3UFS0	Mus musculus	zyg-ll homolog B (C. elegans)
1435754_at	Q3TRM3	Mus musculus	zyg-ll homolog B (C. elegans)
1435754_at	Q148T6	Mus musculus	zyg-ll homolog B (C. elegans)
1435754_at	B9EID5	Mus musculus	zyg-ll homolog B (C. elegans)
1435754_at	Q3UFA3	Mus musculus	zyg-ll homolog B (C. elegans)
1422103_a_at	Q9R0X8	Mus musculus	signal transducer and activator of transcription 5B
1422103_a_at	Q60804	Mus musculus	signal transducer and activator of transcription 5B
1422103_a_at	Q8K3Q1	Mus musculus	signal transducer and activator of transcription 5B
1422103_a_at	Q541Q5	Mus musculus	signal transducer and activator of transcription 5B
1422103_a_at	Q9CTB3	Mus musculus	signal transducer and activator of transcription 5B
1422103_a_at	P42232	Mus musculus	signal transducer and activator of transcription 5B
1422103_a_at	A2A5D5	Mus musculus	signal transducer and activator of transcription 5B
1422103_a_at	Q9JKM1	Mus musculus	signal transducer and activator of transcription 5B
1416638_at	Q8BP69	Mus musculus	sal-like 2 (Drosophila)
1416638_at	Q5U3X1	Mus musculus	sal-like 2 (Drosophila)
1416638_at	Q9QX96	Mus musculus	sal-like 2 (Drosophila)
1416638_at	Q8CHG2	Mus musculus	sal-like 2 (Drosophila)
1460250_at	Q9CQN4	Mus musculus	sclerostin domain containing 1
1460250_at	Q8CF09	Mus musculus	sclerostin domain containing 1
1451153_a_at	Q6P6J7	Mus musculus	cysteine and histidine rich 1
1451153_a_at	Q9QXA1	Mus musculus	cysteine and histidine rich 1
1451153_a_at	Q8BI28	Mus musculus	cysteine and histidine rich 1
1451153_a_at	Q6ZQA2	Mus musculus	cysteine and histidine rich 1
1451153_a_at	Q9D134	Mus musculus	cysteine and histidine rich 1
1418982_at	Q3U2H8	Mus musculus	CCAAT/enhancer binding protein (C/EBP), alpha
1418982_at	Q91XB6	Mus musculus	CCAAT/enhancer binding protein (C/EBP), alpha
1418982_at	P53566	Mus musculus	CCAAT/enhancer binding protein (C/EBP), alpha
1438069_a_at	Q99KV9	Mus musculus	RNA binding motif protein 5
1438069_a_at	Q3UZ84	Mus musculus	RNA binding motif protein 5
1438069_a_at	Q91YE7	Mus musculus	RNA binding motif protein 5
1438069_a_at	Q3UZ19	Mus musculus	RNA binding motif protein 5
1438069_a_at	Q05CY7	Mus musculus	RNA binding motif protein 5
1421922_at	Q3TTD6	Mus musculus	SH3-domain binding protein 5 (BTK-associated)
1421922_at	Q9Z131	Mus musculus	SH3-domain binding protein 5 (BTK-associated)
1421922_at	Q8VCZ0	Mus musculus	SH3-domain binding protein 5 (BTK-associated)
1421922_at	Q8C903	Mus musculus	SH3-domain binding protein 5 (BTK-associated)
1420894_at	Q3U485	Mus musculus	transforming growth factor, beta receptor I
1420894_at	Q9D5H8	Mus musculus	transforming growth factor, beta receptor I
1420894_at	Q9CVP4	Mus musculus	transforming growth factor, beta receptor I
1420894_at	Q4FJL1	Mus musculus	transforming growth factor, beta receptor I
1420894_at	Q64729	Mus musculus	transforming growth factor, beta receptor I
1420894_at	A2AJN0	Mus musculus	transforming growth factor, beta receptor I
1450673_at	Q07643	Mus musculus	collagen, type IX, alpha 2
1450673_at	Q8K2W0	Mus musculus	collagen, type IX, alpha 2
1460668_at	Q3V002	Mus musculus	galanin
1460668_at	P47212	Mus musculus	galanin
1450029_s_at	B8JK39	Mus musculus	integrin alpha 9
1450029_s_at	Q80V97	Mus musculus	integrin alpha 9
1450029_s_at	Q8BJG9	Mus musculus	integrin alpha 9
1450029_s_at	Q91YD5	Mus musculus	integrin alpha 9
1450029_s_at	Q3UT74	Mus musculus	integrin alpha 9
1449533_at	Q9CQG9	Mus musculus	transmembrane protein 100
1422926_at	Q544P9	Mus musculus	melanocortin 2 receptor
1422926_at	Q64326	Mus musculus	melanocortin 2 receptor
1434342_at	P50114	Mus musculus	S100 protein, beta polypeptide, neural
1434342_at	Q3UY00	Mus musculus	S100 protein, beta polypeptide, neural
1452331_s_at	A2BIE1	Mus musculus	glutamine and serine rich 1
1452331_s_at	Q3UR75	Mus musculus	glutamine and serine rich 1
1452331_s_at	Q8C5D6	Mus musculus	glutamine and serine rich 1
1452331_s_at	Q8VDM2	Mus musculus	glutamine and serine rich 1
1427401_at	Q3KP94	Mus musculus	cholinergic receptor, nicotinic, alpha polypeptide 5
1427401_at	Q2MKA5	Mus musculus	cholinergic receptor, nicotinic, alpha polypeptide 5
1427401_at	Q6PW45	Mus musculus	cholinergic receptor, nicotinic, alpha polypeptide 5
1427401_at	Q8BIE9	Mus musculus	cholinergic receptor, nicotinic, alpha polypeptide 5
1427401_at	Q9QXK6	Mus musculus	cholinergic receptor, nicotinic, alpha polypeptide 5
1448162_at	P29533	Mus musculus	vascular cell adhesion molecule 1
1448162_at	Q8K0X1	Mus musculus	vascular cell adhesion molecule 1
1448162_at	Q3TR98	Mus musculus	vascular cell adhesion molecule 1
1448162_at	Q3UPN1	Mus musculus	vascular cell adhesion molecule 1
1448162_at	Q91X98	Mus musculus	vascular cell adhesion molecule 1
1448162_at	Q544V4	Mus musculus	vascular cell adhesion molecule 1
1434757_at	A2AKD9	Mus musculus	core-binding factor, runt domain, alpha subunit 2, translocated to, 2 (human)
1434757_at	Q3UGB2	Mus musculus	core-binding factor, runt domain, alpha subunit 2, translocated to, 2 (human)
1434757_at	Q30BK8	Mus musculus	core-binding factor, runt domain, alpha subunit 2, translocated to, 2 (human)
1434757_at	A2AKE4	Mus musculus	core-binding factor, runt domain, alpha subunit 2, translocated to, 2 (human)
1434757_at	Q6P288	Mus musculus	core-binding factor, runt domain, alpha subunit 2, translocated to, 2 (human)
1434757_at	A2AKE3	Mus musculus	core-binding factor, runt domain, alpha subunit 2, translocated to, 2 (human)
1434757_at	B2RRH8	Mus musculus	core-binding factor, runt domain, alpha subunit 2, translocated to, 2 (human)
1434757_at	O70374	Mus musculus	core-binding factor, runt domain, alpha subunit 2, translocated to, 2 (human)
1421044_at	Q14AX9	Mus musculus	mannose receptor, C type 2
1421044_at	A2AAB0	Mus musculus	mannose receptor, C type 2
1421044_at	Q64449	Mus musculus	mannose receptor, C type 2
1421044_at	Q8C6P0	Mus musculus	mannose receptor, C type 2
1421044_at	Q6ZQ64	Mus musculus	mannose receptor, C type 2
1427974_s_at	Q8R2I9	Mus musculus	calcium channel, voltage-dependent, L type, alpha 1D subunit
1427974_s_at	Q99246	Mus musculus	calcium channel, voltage-dependent, L type, alpha 1D subunit
1427974_s_at	Q6PDD2	Mus musculus	calcium channel, voltage-dependent, L type, alpha 1D subunit
1427974_s_at	Q9CRQ8	Mus musculus	calcium channel, voltage-dependent, L type, alpha 1D subunit
1427974_s_at	Q7TSD2	Mus musculus	calcium channel, voltage-dependent, L type, alpha 1D subunit
1427974_s_at	Q8R2J0	Mus musculus	calcium channel, voltage-dependent, L type, alpha 1D subunit
1417892_a_at	Q9EPA8	Mus musculus	sirtuin 3 (silent mating type information regulation 2, homolog) 3 (S. cerevisiae)
1417892_a_at	Q8R104	Mus musculus	sirtuin 3 (silent mating type information regulation 2, homolog) 3 (S. cerevisiae)
1417892_a_at	Q4FJK3	Mus musculus	sirtuin 3 (silent mating type information regulation 2, homolog) 3 (S. cerevisiae)
1426866_at	Q9D0P2	Mus musculus	carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 14
1426866_at	A2AQV2	Mus musculus	carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 14
1426866_at	A2AQV3	Mus musculus	carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 14
1426866_at	Q8R304	Mus musculus	carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 14
1426866_at	Q3U3W1	Mus musculus	carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 14
1426866_at	Q3TXA1	Mus musculus	carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 14
1426866_at	Q80V53	Mus musculus	carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 14
1426866_at	Q3U2T1	Mus musculus	carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 14
1449843_at	O35696	Mus musculus	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2
1449843_at	Q4VA47	Mus musculus	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2
1451446_at	Q9CZ52	Mus musculus	anthrax toxin receptor 1
1451446_at	Q505H2	Mus musculus	anthrax toxin receptor 1
1419564_at	B2RU53	Mus musculus	zinc finger protein 467
1419564_at	Q3USQ2	Mus musculus	zinc finger protein 467
1419564_at	Q8JZL0	Mus musculus	zinc finger protein 467
1419564_at	Q9JJ98	Mus musculus	zinc finger protein 467
1432022_at	A6X8Z5	Mus musculus	CDC42 GTPase-activating protein
1432022_at	Q6ZPW0	Mus musculus	CDC42 GTPase-activating protein
1432022_at	Q3UDE7	Mus musculus	CDC42 GTPase-activating protein
1432022_at	Q9WV94	Mus musculus	CDC42 GTPase-activating protein
1432022_at	Q3UUH4	Mus musculus	CDC42 GTPase-activating protein
1432022_at	B2RSI0	Mus musculus	CDC42 GTPase-activating protein
1432022_at	Q3U1T7	Mus musculus	CDC42 GTPase-activating protein
1432022_at	Q3TL91	Mus musculus	CDC42 GTPase-activating protein
1454628_at	Q6PFE6	Mus musculus	intermediate filament family orphan 1
1454628_at	Q8C1D6	Mus musculus	intermediate filament family orphan 1
1454628_at	Q8BXS3	Mus musculus	intermediate filament family orphan 1
1454628_at	Q8BXL9	Mus musculus	intermediate filament family orphan 1
1454628_at	Q3TQI1	Mus musculus	intermediate filament family orphan 1
1449813_at	Q78FW7	Mus musculus	zinc finger protein 30
1449813_at	Q9CRV9	Mus musculus	zinc finger protein 30
1449813_at	Q60585	Mus musculus	zinc finger protein 30
1449813_at	Q69ZU5	Mus musculus	zinc finger protein 30
1418815_at	Q64260	Mus musculus	cadherin 2; similar to N-cadherin
1418815_at	Q6GU11	Mus musculus	cadherin 2; similar to N-cadherin
1418815_at	P15116	Mus musculus	cadherin 2; similar to N-cadherin
1418815_at	Q8BSI9	Mus musculus	cadherin 2; similar to N-cadherin
1418815_at	Q3UIC2	Mus musculus	cadherin 2; similar to N-cadherin
1438602_s_at	A2RRH9	Mus musculus	mannan-binding lectin serine peptidase 1
1438602_s_at	A2RRH8	Mus musculus	mannan-binding lectin serine peptidase 1
1438602_s_at	Q920S0	Mus musculus	mannan-binding lectin serine peptidase 1
1438602_s_at	Q8CD27	Mus musculus	mannan-binding lectin serine peptidase 1
1438602_s_at	P98064	Mus musculus	mannan-binding lectin serine peptidase 1
1438602_s_at	Q8CIR9	Mus musculus	mannan-binding lectin serine peptidase 1
1438602_s_at	Q8CIR8	Mus musculus	mannan-binding lectin serine peptidase 1
1451827_a_at	Q8C3M1	Mus musculus	NADPH oxidase 4
1451827_a_at	Q3TF39	Mus musculus	NADPH oxidase 4
1451827_a_at	Q9JHI8	Mus musculus	NADPH oxidase 4
1451827_a_at	B5AN18	Mus musculus	NADPH oxidase 4
1451827_a_at	B2RSM1	Mus musculus	NADPH oxidase 4
1451827_a_at	Q8VCA3	Mus musculus	NADPH oxidase 4
1450824_at	Q5R1U4	Mus musculus	patched homolog 1
1450824_at	Q61115	Mus musculus	patched homolog 1
1450824_at	Q5R252	Mus musculus	patched homolog 1
1450824_at	Q5TLE7	Mus musculus	patched homolog 1
1450824_at	Q3TQB0	Mus musculus	patched homolog 1
1450824_at	Q5TLE8	Mus musculus	patched homolog 1
1450824_at	Q3TM50	Mus musculus	patched homolog 1
1450824_at	Q3LG17	Mus musculus	patched homolog 1
1450824_at	Q3UUD4	Mus musculus	patched homolog 1
1418594_a_at	P70366	Mus musculus	similar to Nuclear receptor coactivator 1 (NCoA-1) (Steroid receptor coactivator 1) (SRC-1) (Nuclear receptor coactivator protein 1) (mNRC-1); nuclear receptor coactivator 1
1418594_a_at	Q61202	Mus musculus	similar to Nuclear receptor coactivator 1 (NCoA-1) (Steroid receptor coactivator 1) (SRC-1) (Nuclear receptor coactivator protein 1) (mNRC-1); nuclear receptor coactivator 1
1418594_a_at	P70365	Mus musculus	similar to Nuclear receptor coactivator 1 (NCoA-1) (Steroid receptor coactivator 1) (SRC-1) (Nuclear receptor coactivator protein 1) (mNRC-1); nuclear receptor coactivator 1
1418594_a_at	Q3U3A3	Mus musculus	similar to Nuclear receptor coactivator 1 (NCoA-1) (Steroid receptor coactivator 1) (SRC-1) (Nuclear receptor coactivator protein 1) (mNRC-1); nuclear receptor coactivator 1
1418594_a_at	Q8CBI9	Mus musculus	similar to Nuclear receptor coactivator 1 (NCoA-1) (Steroid receptor coactivator 1) (SRC-1) (Nuclear receptor coactivator protein 1) (mNRC-1); nuclear receptor coactivator 1
1418594_a_at	Q66JL7	Mus musculus	similar to Nuclear receptor coactivator 1 (NCoA-1) (Steroid receptor coactivator 1) (SRC-1) (Nuclear receptor coactivator protein 1) (mNRC-1); nuclear receptor coactivator 1
1416302_at	Q5SWK5	Mus musculus	early B-cell factor 1
1416302_at	Q07802	Mus musculus	early B-cell factor 1
1416302_at	Q5SWK4	Mus musculus	early B-cell factor 1
1416302_at	Q3V317	Mus musculus	early B-cell factor 1
1416302_at	Q8CBL7	Mus musculus	early B-cell factor 1
1416302_at	Q8C955	Mus musculus	early B-cell factor 1
1416302_at	Q3UTW6	Mus musculus	early B-cell factor 1
1416302_at	Q8BSM3	Mus musculus	early B-cell factor 1
1423477_at	Q3TWA9	Mus musculus	similar to Zic protein; zinc finger protein of the cerebellum 1
1423477_at	Q6PAK5	Mus musculus	similar to Zic protein; zinc finger protein of the cerebellum 1
1423477_at	Q3UR19	Mus musculus	similar to Zic protein; zinc finger protein of the cerebellum 1
1423477_at	P46684	Mus musculus	similar to Zic protein; zinc finger protein of the cerebellum 1
1423477_at	Q80Y18	Mus musculus	similar to Zic protein; zinc finger protein of the cerebellum 1
1419458_at	Q69Z41	Mus musculus	Rho-guanine nucleotide exchange factor
1419458_at	A0PJC1	Mus musculus	Rho-guanine nucleotide exchange factor
1419458_at	Q6DI55	Mus musculus	Rho-guanine nucleotide exchange factor
1419458_at	B2RQQ2	Mus musculus	Rho-guanine nucleotide exchange factor
1419458_at	P97433	Mus musculus	Rho-guanine nucleotide exchange factor
1416301_a_at	Q5SWK5	Mus musculus	early B-cell factor 1
1416301_a_at	Q07802	Mus musculus	early B-cell factor 1
1416301_a_at	Q5SWK4	Mus musculus	early B-cell factor 1
1416301_a_at	Q3V317	Mus musculus	early B-cell factor 1
1416301_a_at	Q8CBL7	Mus musculus	early B-cell factor 1
1416301_a_at	Q8C955	Mus musculus	early B-cell factor 1
1416301_a_at	Q3UTW6	Mus musculus	early B-cell factor 1
1416301_a_at	Q8BSM3	Mus musculus	early B-cell factor 1
1435087_at	B1ASA5	Mus musculus	zinc finger protein 362
1431834_a_at	Q3U254	Mus musculus	elastin microfibril interfacer 1
1431834_a_at	Q99K41	Mus musculus	elastin microfibril interfacer 1
1431834_a_at	Q3UUU0	Mus musculus	elastin microfibril interfacer 1
1431834_a_at	Q3USG5	Mus musculus	elastin microfibril interfacer 1
1450259_a_at	Q3UZ79	Mus musculus	signal transducer and activator of transcription 5A
1450259_a_at	Q9R0X9	Mus musculus	signal transducer and activator of transcription 5A
1450259_a_at	Q71UV3	Mus musculus	signal transducer and activator of transcription 5A
1450259_a_at	Q6PHA0	Mus musculus	signal transducer and activator of transcription 5A
1450259_a_at	Q9JIA0	Mus musculus	signal transducer and activator of transcription 5A
1450259_a_at	P42230	Mus musculus	signal transducer and activator of transcription 5A
1450259_a_at	B2C3G8	Mus musculus	signal transducer and activator of transcription 5A
1450259_a_at	A2A5D4	Mus musculus	signal transducer and activator of transcription 5A
1450259_a_at	A2A5D3	Mus musculus	signal transducer and activator of transcription 5A
1422870_at	Q08624	Mus musculus	homeo box C4
1422870_at	B2RWR0	Mus musculus	homeo box C4
1449269_at	Q8C7H9	Mus musculus	coagulation factor V; similar to Murine coagulation factor V
1449269_at	Q3UV80	Mus musculus	coagulation factor V; similar to Murine coagulation factor V
1449269_at	O88783	Mus musculus	coagulation factor V; similar to Murine coagulation factor V
1449269_at	Q3UTQ2	Mus musculus	coagulation factor V; similar to Murine coagulation factor V
1431569_a_at	Q8BLC3	Mus musculus	Ly6/Plaur domain containing 1
1431569_a_at	Q3V2X5	Mus musculus	Ly6/Plaur domain containing 1
1431569_a_at	Q3V447	Mus musculus	Ly6/Plaur domain containing 1
1431569_a_at	Q9JJ96	Mus musculus	Ly6/Plaur domain containing 1
1420895_at	Q3U485	Mus musculus	transforming growth factor, beta receptor I
1420895_at	Q9D5H8	Mus musculus	transforming growth factor, beta receptor I
1420895_at	Q9CVP4	Mus musculus	transforming growth factor, beta receptor I
1420895_at	Q4FJL1	Mus musculus	transforming growth factor, beta receptor I
1420895_at	Q64729	Mus musculus	transforming growth factor, beta receptor I
1420895_at	A2AJN0	Mus musculus	transforming growth factor, beta receptor I
1436566_at	Q4VA07	Mus musculus	Rab40b, member RAS oncogene family
1436566_at	B1ATT4	Mus musculus	Rab40b, member RAS oncogene family
1436566_at	Q8VHP8	Mus musculus	Rab40b, member RAS oncogene family
1423835_at	Q7TMA2	Mus musculus	zinc finger protein 503
1423835_at	Q8VCV4	Mus musculus	zinc finger protein 503
1422184_a_at	Q542C5	Mus musculus	adenylate kinase 1
1422184_a_at	Q9R0Y4	Mus musculus	adenylate kinase 1
1422184_a_at	Q9R0Y5	Mus musculus	adenylate kinase 1
1422184_a_at	A2AK80	Mus musculus	adenylate kinase 1
1449135_at	Q9EQ73	Mus musculus	SRY-box containing gene 18
1449135_at	P43680	Mus musculus	SRY-box containing gene 18
1449135_at	Q3UND6	Mus musculus	SRY-box containing gene 18
1449135_at	B7ZCS2	Mus musculus	SRY-box containing gene 18
1432057_a_at	Q9D364	Mus musculus	PR domain containing 5
1432057_a_at	Q9CXE0	Mus musculus	PR domain containing 5
1432057_a_at	Q9D1T8	Mus musculus	PR domain containing 5
1432057_a_at	B2RSK8	Mus musculus	PR domain containing 5
1424711_at	Q9QY22	Mus musculus	transmembrane protein 2
1424711_at	Q6DFZ0	Mus musculus	transmembrane protein 2
1424711_at	Q8BS93	Mus musculus	transmembrane protein 2
1424711_at	Q8VE53	Mus musculus	transmembrane protein 2
1424711_at	Q6ZPR7	Mus musculus	transmembrane protein 2
1424711_at	Q5FWI3	Mus musculus	transmembrane protein 2
1424711_at	Q3UE98	Mus musculus	transmembrane protein 2
1424711_at	Q3UE15	Mus musculus	transmembrane protein 2
1450178_at	Q8BNZ8	Mus musculus	bromodomain, testis-specific
1450178_at	Q59HJ4	Mus musculus	bromodomain, testis-specific
1450178_at	Q91Y44	Mus musculus	bromodomain, testis-specific
1427407_s_at	Q8BMX5	Mus musculus	thyroid hormone receptor interactor 11
1427407_s_at	B2RY51	Mus musculus	thyroid hormone receptor interactor 11
1427407_s_at	Q8BVJ9	Mus musculus	thyroid hormone receptor interactor 11
1427407_s_at	Q3UFU7	Mus musculus	thyroid hormone receptor interactor 11
1427407_s_at	Q811I5	Mus musculus	thyroid hormone receptor interactor 11
1427407_s_at	Q3UTR9	Mus musculus	thyroid hormone receptor interactor 11
1427407_s_at	Q9CRV3	Mus musculus	thyroid hormone receptor interactor 11
1434325_x_at	Q3TY04	Mus musculus	protein kinase, cAMP dependent regulatory, type I beta
1434325_x_at	P12849	Mus musculus	protein kinase, cAMP dependent regulatory, type I beta
1434325_x_at	Q921L9	Mus musculus	protein kinase, cAMP dependent regulatory, type I beta
1421065_at	Q62120	Mus musculus	Janus kinase 2
1421065_at	Q8CIN8	Mus musculus	Janus kinase 2
1421065_at	Q62124	Mus musculus	Janus kinase 2
1421065_at	Q7TQD0	Mus musculus	Janus kinase 2
1438603_x_at	A2RRH9	Mus musculus	mannan-binding lectin serine peptidase 1
1438603_x_at	A2RRH8	Mus musculus	mannan-binding lectin serine peptidase 1
1438603_x_at	Q920S0	Mus musculus	mannan-binding lectin serine peptidase 1
1438603_x_at	Q8CD27	Mus musculus	mannan-binding lectin serine peptidase 1
1438603_x_at	P98064	Mus musculus	mannan-binding lectin serine peptidase 1
1438603_x_at	Q8CIR9	Mus musculus	mannan-binding lectin serine peptidase 1
1438603_x_at	Q8CIR8	Mus musculus	mannan-binding lectin serine peptidase 1
1449815_a_at	Q9CYZ8	Mus musculus	single-stranded DNA binding protein 2; predicted gene 12470
1449815_a_at	Q99LX9	Mus musculus	single-stranded DNA binding protein 2; predicted gene 12470
1449815_a_at	B1B188	Mus musculus	single-stranded DNA binding protein 2; predicted gene 12470
1449815_a_at	Q540I3	Mus musculus	single-stranded DNA binding protein 2; predicted gene 12470
1449815_a_at	Q8BPZ5	Mus musculus	single-stranded DNA binding protein 2; predicted gene 12470
1420938_at	Q8C785	Mus musculus	heparan sulfate 6-O-sulfotransferase 2
1420938_at	Q3TAR0	Mus musculus	heparan sulfate 6-O-sulfotransferase 2
1420938_at	Q9QYK6	Mus musculus	heparan sulfate 6-O-sulfotransferase 2
1420938_at	B1AUS3	Mus musculus	heparan sulfate 6-O-sulfotransferase 2
1420938_at	A2AEM4	Mus musculus	heparan sulfate 6-O-sulfotransferase 2
1420938_at	Q80UW0	Mus musculus	heparan sulfate 6-O-sulfotransferase 2
1420938_at	Q6P4N9	Mus musculus	heparan sulfate 6-O-sulfotransferase 2
1449251_at	Q5CZY6	Mus musculus	Norrie disease (pseudoglioma) (human)
1449251_at	P48744	Mus musculus	Norrie disease (pseudoglioma) (human)
1456417_at	Q08EF0	Mus musculus	zinc finger protein of the cerebellum 4
1456417_at	Q8C8J4	Mus musculus	zinc finger protein of the cerebellum 4
1456417_at	Q8C5L0	Mus musculus	zinc finger protein of the cerebellum 4
1456417_at	Q8BG91	Mus musculus	zinc finger protein of the cerebellum 4
1456417_at	Q61467	Mus musculus	zinc finger protein of the cerebellum 4
1418826_at	Q9D8W9	Mus musculus	membrane-spanning 4-domains, subfamily A, member 6B
1418826_at	Q8BK83	Mus musculus	membrane-spanning 4-domains, subfamily A, member 6B
